what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251454761796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251454762671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251454762734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251456897921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251456898500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251456900187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251456900234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251461104515
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1251461109062
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1251461109125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251461110765
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1251461124703
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1251461126000
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1251461126062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251461127750
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1251461129968
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1251461129968
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1251461131046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251461134781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251461144796
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1251461147734
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1251461147890
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1251461148328
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1251461148343
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1251461152437
