what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1251466473609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466476031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466480203
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1251466480515
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1251466480843
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1251466481390
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1251466481703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466502531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466503859
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1251466504062
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1251466505265
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1251466506625
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1251466506937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466532562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466533640
failed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.delegate.methods",1251466533750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466537468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466539531
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1251466539750
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1251466541031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466543484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466683312
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1251466696640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466700562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251466701671
